id,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Outage_Risk
0,,309.7,1354.93,52.4,163.0,751.67,0
1,303.4,,1482.65,35.7,56.0,428.13,1
2,298.0,308.7,1316.32,58.5,176.0,550.89,0
3,303.0,311.2,1349.34,38.0,139.0,591.67,0
4,296.7,307.8,1226.87,51.4,108.0,645.82,0
5,300.8,310.5,1415.87,31.1,193.0,606.89,0
6,303.8,313.1,1136.15,58.7,213.0,519.95,0
7,,,1415.94,30.5,34.0,463.14,0
8,298.2,308.7,1809.57,20.5,36.0,753.94,1
9,301.6,310.8,1521.58,32.0,,520.62,0
10,297.3,308.5,1472.47,32.8,92.0,573.23,0
11,300.3,310.2,1316.59,39.5,4.0,512.79,0
12,297.6,308.9,1345.76,38.1,182.0,571.91,0
13,300.7,311.7,1384.44,38.4,205.0,580.31,1
14,299.5,309.2,1319.77,41.5,175.0,626.92,0
15,303.9,313.1,1412.88,31.9,108.0,526.0,0
16,,310.9,1411.36,31.8,91.0,482.88,0
17,,308.8,1165.53,57.3,0.0,313.78,0
18,300.5,311.5,1308.05,37.6,73.0,567.12,0
19,298.0,307.7,1496.01,32.3,200.0,665.6,0
20,301.2,311.6,1278.02,48.0,199.0,583.23,0
21,303.5,312.8,1447.21,38.4,92.0,497.15,0
22,301.2,311.0,1275.16,41.4,131.0,453.8,0
23,297.4,309.0,1343.18,37.0,147.0,609.63,1
24,301.2,,1420.57,39.6,109.0,627.34,0
25,300.2,311.0,1142.33,71.8,149.0,437.01,0
26,297.4,308.1,1207.65,,68.0,497.02,0
27,300.6,311.7,1398.75,39.8,0.0,654.43,0
28,301.5,310.9,1369.35,40.4,,648.1,1
29,,311.8,1273.19,58.9,22.0,482.81,0
30,297.4,308.2,1152.17,52.1,211.0,533.53,0
31,300.1,309.2,1233.51,46.1,120.0,687.98,1
32,299.1,310.5,1293.36,48.8,76.0,548.7,0
33,,308.1,1356.4,44.1,96.0,567.04,0
34,301.9,310.9,1165.18,48.0,124.0,611.97,0
35,295.6,306.2,1328.42,45.0,40.0,638.08,0
36,297.8,309.1,1268.96,42.6,17.0,484.76,0
37,298.0,,1445.29,33.3,121.0,650.77,0
38,304.4,313.6,1352.72,43.1,13.0,622.26,0
39,298.6,309.8,1317.21,42.8,205.0,528.07,0
40,303.6,311.7,1380.32,38.5,64.0,594.02,0
41,295.7,306.2,1355.58,40.6,103.0,539.56,0
42,300.7,309.6,1397.93,35.2,82.0,525.9,0
43,303.7,312.5,1448.52,36.6,186.0,465.55,1
44,301.0,311.3,1304.21,35.3,73.0,486.1,0
45,300.6,311.7,1314.82,36.7,17.0,475.69,0
46,300.5,,1359.28,38.9,214.0,716.62,1
47,302.5,311.9,1249.95,44.9,203.0,541.0,1
48,,308.5,1307.72,39.8,145.0,563.83,1
49,298.7,309.7,1182.19,59.1,125.0,437.63,0
50,300.4,309.6,1373.41,34.0,6.0,591.13,0
51,301.8,310.7,1357.26,29.3,133.0,447.28,0
52,298.5,309.5,1404.96,41.0,153.0,575.4,0
53,301.5,310.5,1473.96,34.9,186.0,747.6,0
54,302.0,310.9,1394.76,45.3,,554.92,0
55,301.4,310.6,1388.73,36.8,159.0,714.25,1
56,301.8,310.6,1392.13,35.9,97.0,594.46,1
57,298.9,310.1,1189.16,54.5,51.0,524.47,1
58,298.5,309.3,1305.2,50.3,124.0,473.45,0
59,299.2,308.5,1287.76,46.6,63.0,499.33,0
60,302.3,311.7,1242.73,41.6,136.0,443.04,0
61,299.5,310.7,1439.89,33.5,,398.36,0
62,297.6,308.5,1318.41,39.7,34.0,650.05,0
63,298.6,308.2,1217.36,68.2,172.0,467.2,1
64,298.4,310.0,1430.17,44.2,23.0,489.84,0
65,302.1,311.0,1515.62,28.7,83.0,807.45,1
66,302.4,311.8,1546.22,26.5,213.0,536.67,0
67,296.2,307.2,1389.72,34.8,8.0,586.27,1
68,298.5,,1386.48,34.9,18.0,500.57,1
69,299.0,309.0,1206.7,52.2,44.0,366.33,0
